features,min,max,pso_min,pso_max
Charge,1.0,33.0,6.312238346003575,10.719603325704728
melting_volume,500.0,1326.0,1160.5842015389076,1252.6335016636008
time_diff_melt_hold,1.0,24.0,23.13484104085454,8.034866550612195
holding_temp,1302.0,1425.0,1312.389443964567,1401.4764988882387
Metal Temp Set,677.0,1170.0,726.0178954816543,979.9991569531915
Metal Temp,835.0,1198.0,928.4432252976517,1181.8423621869906
before_cooler_temp,12.0,46.0,24.689605789193067,14.19115362111166
after_cooler_temp,23.0,69.0,52.629334450855055,56.45050359135754
Waiting Time,4.8,26.1,13.21012432868666,18.604006582236284
w_kg,0.0,38202.0,4892.200709440918,31263.167066482703
mm/min,0.0,600.0,584.1938799641281,427.11477366892126
w_d/w_t,0.5363984674329502,12.5,8.853567390623473,12.29180668079869
